graph_id,graph_node,connection_data
1,8,"[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
2,8,"[(0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]"
3,8,"[(0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
4,8,"[(0, 6), (1, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
5,8,"[(0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
6,8,"[(0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
7,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]"
8,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
9,8,"[(0, 6), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
10,8,"[(0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7)]"
11,8,"[(0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
12,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
13,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
14,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
15,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
16,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7)]"
17,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
18,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
19,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
20,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
21,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
22,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
23,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
24,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
25,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
26,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
27,8,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
28,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7)]"
29,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]"
30,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
31,8,"[(0, 5), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (6, 7)]"
32,8,"[(0, 5), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
33,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7)]"
34,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (6, 7)]"
35,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
36,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
37,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7)]"
38,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (6, 7)]"
39,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
40,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
41,8,"[(0, 5), (0, 7), (1, 6), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
42,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7)]"
43,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (6, 7)]"
44,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7)]"
45,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
46,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7)]"
47,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (6, 7)]"
48,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
49,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
50,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7)]"
51,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (6, 7)]"
52,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
53,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
54,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7)]"
55,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7), (6, 7)]"
56,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6)]"
57,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (6, 7)]"
58,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
59,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
60,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7)]"
61,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (6, 7)]"
62,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
63,8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
