graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,gamma_1,gamma_2
1.0,7.0,3.5,6.444067324264112,0.8857211954276519,2.0,-0.15403805109788365,-0.11124524198139131,-0.44005195213867804,-0.1642719330674976
2.0,7.0,3.5,6.501471000418565,0.5027402872736818,2.0,-0.12484194265909154,0.12489898739080461,-0.49819346119636704,0.9962537653844157
3.0,7.0,4.0,6.21670905799036,0.7721172300156172,2.0,-0.12115755980979093,0.09098189154894089,-0.3671718557645291,0.8008976305380727
4.0,7.0,3.5,5.894461379124849,0.3493173275056508,2.0,-0.12317708665396691,-0.08708638183353296,-0.23425291621894997,-0.30880538607978675
5.0,7.0,3.5,5.810066778090092,0.2898717816262887,2.0,-0.13078946293653199,-0.08354878811192136,-0.2119972462193569,-0.28872707761550076
6.0,7.0,4.0,6.174731451300789,0.5173916025748759,2.0,-0.11861722733503312,-0.08190954692148789,-0.193336626275731,-0.3131661856937145
7.0,8.0,4.0,6.53434882376846,0.3658871031002606,2.0,-0.13724173874128134,-0.09468809002001674,-0.19913481981961473,-0.25260736922938554
8.0,8.0,4.5,6.608592549095026,0.19380912365946334,2.0,-0.12127726165119795,-0.08230527109461179,-0.17207028195947469,-0.2852269268753717
9.0,7.0,3.5,6.500000000000009,0.49999999999998246,2.0,-0.12500000810080172,0.12499999006586804,-0.49999995597902697,0.9999999998737225
10.0,7.0,3.5,5.940586860177445,0.32559337258768656,2.0,-0.14174471497573018,-0.08680307882668714,-0.22915308572994125,-0.3270917044527192
11.0,7.0,4.0,6.220258135369267,0.5291993024457675,2.0,-0.12610236196804941,-0.08230592138468898,-0.1915301640765503,-0.30930644386514955
12.0,8.0,4.0,6.551286869129426,0.331419674231834,2.0,-0.14956757828463496,-0.09429688720595264,-0.1939250130881003,-0.27721159268032824
13.0,8.0,4.5,6.663182301515139,0.21993469459797432,2.0,-0.12900162305172364,-0.08294131640089675,-0.16846558793051633,-0.2896796999847592
14.0,9.0,4.5,7.351067830818943,0.4041242592763157,2.0,-0.1559907894873431,-0.10689440320027804,-0.17884733597606178,-0.24131890966562983
